Sample,Cluster
GSM8519505,NR
GSM8519506,NKRL
GSM8519507,TCMR
GSM8519508,Injury
GSM8519509,NR
GSM8519510,TCMR
GSM8519511,TCMR
GSM8519512,NKRL
GSM8519513,NR
GSM8519514,NR
GSM8519515,TCMR
GSM8519516,NR
GSM8519517,NR
GSM8519518,NR
GSM8519519,NKRL
GSM8519520,NR
GSM8519521,NR
GSM8519522,NR
GSM8519523,NR
GSM8519524,NR
GSM8519525,TCMR
GSM8519526,NR
GSM8519527,NR
GSM8519528,Injury
GSM8519529,Injury
GSM8519530,Injury
GSM8519531,NKRL
GSM8519532,Injury
GSM8519533,Injury
GSM8519534,Injury
GSM8519535,NR
GSM8519536,NR
GSM8519537,NR
GSM8519538,NKRL
GSM8519539,TCMR
GSM8519540,NR
GSM8519541,NR
GSM8519542,NR
GSM8519543,TCMR
GSM8519544,NR
GSM8519545,NKRL
GSM8519546,NR
GSM8519547,NR
GSM8519548,NR
GSM8519549,NR
GSM8519550,TCMR
GSM8519551,NKRL
GSM8519552,TCMR
GSM8519553,NKRL
GSM8519554,NR
GSM8519555,NR
GSM8519556,NR
GSM8519557,TCMR
GSM8519558,NR
GSM8519559,TCMR
GSM8519560,NR
GSM8519561,NR
GSM8519562,NKRL
GSM8519563,NR
GSM8519564,TCMR
GSM8519565,NR
GSM8519566,TCMR
GSM8519567,Injury
GSM8519568,NKRL
GSM8519569,NKRL
GSM8519570,NR
GSM8519571,NR
GSM8519572,Injury
GSM8519573,NKRL
GSM8519574,TCMR
GSM8519575,NR
GSM8519576,TCMR
GSM8519577,Injury
GSM8519578,Injury
GSM8519579,NR
GSM8519580,NR
GSM8519581,TCMR
GSM8519582,NR
GSM8519583,NR
GSM8519584,NR
GSM8519585,NR
GSM8519586,NR
GSM8519587,NR
GSM8519588,NKRL
GSM8519589,Injury
GSM8519590,NKRL
GSM8519591,NR
GSM8519592,Injury
GSM8519593,NR
GSM8519594,NKRL
GSM8519595,NR
GSM8519596,NR
GSM8519597,TCMR
